,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
669,669,middle c# developer asp.net mvc,Новосибирск,,120000.0,Indeed-Id,2019-10-15T15:52:46+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Indeed Identity - российский разработчик программных B2B решений в области информационной безопасности для крупных корпоративных заказчиков. Мы разрабатываем линейку продуктов под брендом Indeed-Id, включающую в себя решения для обеспечения строгой аутентификации (отпечатки пальцев, смарт-карты, бесконтактные карты и др), Enterprise Single Sign-On, Windows Domain Authentication, Card Management, Virtual Smart Card. Офисы компании находятся в Санкт-Петербурге, Москве, Великом Новгороде и Вильнюсе. Более чем за десять лет работы нашими клиентами стали: Пенсионный фонд РФ, Новатек, Роснефть, Альфабанк, Мегафон, МТС, Магнит, Банк «Санкт-Петербург», Крайинвестбанк и другие. В данный момент мы ищем разработчиков для работы над новым продуктом, а так же для развития существующих решений. Ждем от вас эффективного выполнения поставленных задач и профессионального роста. Мы со своей стороны обеспечим для этого все возможности. Требования: Понимание принципов OOП Знание шаблонов проектирования Опыт программирования на С#/ASP.NET Хорошее знание .NET Framework 4.6 Знание ASP.NET MVC Знание HTML, CSS, Javascript, AJAX, jQuery Знание систем контроля версий (Git, SVN) Умение работать с чужим кодом Обязанности: Разработка новых модулей и компонент Поддержка существующего кода Изучение стороннего ПО, API интеграции с ним Мы предлагаем: Дружественная атмосфера в команде Гибкие методологии разработки Интересные, технологически и функционально современные продукты Большие возможности для профессионального роста Регулярный пересмотр уровня зп",,,,ASP.NET|MVC|C#|.NET Framework|HTML|JavaScript|jQuery
