,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
78,78,веб разработчик frontend,Новосибирск,,,Моё дело,2019-09-23T10:53:32+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Компания &quot;Моё дело&quot; занимается разработкой одноименного облачного сервиса для комплексного ведения ​бухгалтерии. Чтобы охватить все тонкости этого процесса, мы постоянно расширяем функционал, и сейчас настал момент, когда занятых в этом деле рук в нашем офисе стало не хватать. В связи с этим мы ищем удаленных сотрудников на полную занятость, которым мы готовы доверить массу интересной и творческой работы. Что мы можем Вам предложить: Удаленная работа, полная занятость Продуктовая разработка, sсrum, аgile Интересные задачи, требующие творческого подхода Обучение внутри компании, оплачиваемое работодателем Пятидневная рабочая неделя Оформление согласно ТК РФ Стабильный доход, возможность роста зарплаты Возможности карьерного и профессионального роста! Вам предстоит: Реализация пользовательского интерфейса (frontend) облачного сервиса с использованием HTML, CSS, JavaScript Работа с системами контроля версий и таск трекинга Оценка времени выполнения поставленных задач Взаимодействие с сервером Continous Integration Общение с командой тестирования продукта Покрытие тестами написанного кода Ведение документации в Confluence Взаимодействие с аналитиками и методологами. Мы будем рады в Вас увидеть: Уверенное знание JavaScript, Html, Css Опыт работы с одним или несколькими фреймворками (React, Angular, Vue и т.п) Готовность заниматься как интересными, так и скучными задачами; Желание и умение работать в команде (у нас Scrum) Понимать, что такое асинхронность и как с ней работать Желание и умение общаться с дизайнерами, тестировщиками, аналитиками. Любопытство и любовь к новым технологиям. Желательно: Знание Node.js Английский для чтения Опыт работы с системами контроля версий (git) Опыт написания приложений с использованием Webpack, Babel Опыт работы с React (Mobx) Опыт тестирования клиентского приложения Использование Less / Sass / PostCSS Использование npm / yarn.",,,,
458,458,веб разработчик frontend,Краснодар,,,Моё дело,2019-09-23T10:53:46+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Компания &quot;Моё дело&quot; занимается разработкой одноименного облачного сервиса для комплексного ведения ​бухгалтерии. Чтобы охватить все тонкости этого процесса, мы постоянно расширяем функционал, и сейчас настал момент, когда занятых в этом деле рук в нашем офисе стало не хватать. В связи с этим мы ищем удаленных сотрудников на полную занятость, которым мы готовы доверить массу интересной и творческой работы. Что мы можем Вам предложить: Удаленная работа, полная занятость Продуктовая разработка, sсrum, аgile Интересные задачи, требующие творческого подхода Обучение внутри компании, оплачиваемое работодателем Пятидневная рабочая неделя Оформление согласно ТК РФ Стабильный доход, возможность роста зарплаты Возможности карьерного и профессионального роста! Вам предстоит: Реализация пользовательского интерфейса (frontend) облачного сервиса с использованием HTML, CSS, JavaScript Работа с системами контроля версий и таск трекинга Оценка времени выполнения поставленных задач Взаимодействие с сервером Continous Integration Общение с командой тестирования продукта Покрытие тестами написанного кода Ведение документации в Confluence Взаимодействие с аналитиками и методологами. Мы будем рады в Вас увидеть: Уверенное знание JavaScript, Html, Css Опыт работы с одним или несколькими фреймворками (React, Angular, Vue и т.п) Готовность заниматься как интересными, так и скучными задачами; Желание и умение работать в команде (у нас Scrum) Понимать, что такое асинхронность и как с ней работать Желание и умение общаться с дизайнерами, тестировщиками, аналитиками. Любопытство и любовь к новым технологиям. Желательно: Знание Node.js Английский для чтения Опыт работы с системами контроля версий (git) Опыт написания приложений с использованием Webpack, Babel Опыт работы с React (Mobx) Опыт тестирования клиентского приложения Использование Less / Sass / PostCSS Использование npm / yarn.",,,,
